Component,Quantity,Price (USD),Link
Arduino Mega ,Main controller with plenty of I/O for multiple sensors- fans- and servo valves,75,https://www.amazon.eg/-/en/DIY-Kit-Arduino-Mega-Microcontroller-Rev3/dp/B0D7WG8BZF
Custom I/O Expansion Shield for Arduino Mega,Adds more power and signal terminals for managing multiple active components,21,https://www.ram-e-shop.com/ar/shop/rpi-phat-io-exp-io-expansion-hat-for-raspberry-pi-5-4b-3b-8267
Channel 5V Relay Module,1,10.00,https://www.amazon.eg/Relay-Module-16-Channel-5V/dp/B0B6RP69BT/
12V LED Strip (High-CRI),1,6.00,https://www.amazon.eg/-/en/dobestyou-Decorative-Purposes-SMD2835-Waterproof/dp/B0B1DP8685/
DS18B20 Temperature Sensor,1,50.00,https://ar.aliexpress.com/item/1005008477970186.html?
LDR Light Sensor Module,1,8.50,https://www.amazon.eg/-/en/10Pcs-Photosensitive-Resistor-Sensor-Module/dp/B0CGNJ5CRT/
Aquarium Heater,1,13.00,https://ar.aliexpress.com/item/1005001803652936.html?
Oxygen Pump,1,26.20,https://ar.aliexpress.com/item/1005009196812461.html?
Light Shielding Frame,1,4.30,https://ar.aliexpress.com/item/1005005534687013.html?
12V 5A Power Adapter,3,36.00,https://ar.aliexpress.com/item/1005004623323483.html?
Jumper Wires + Kit,1,6.00,https://ar.aliexpress.com/item/1005008637857128.html?
Plastic IP-rated Control Box,2,13.40,https://ar.aliexpress.com/item/1005004340658589.html?
TOTAL,,269.4,


